,Street level
0,Docklands Drive
1,Victor Harbour Promenade
2,Nicholson Street
3,Harbour Esplanade
4,Wellington Promenade
5,Clarendon Street
6,Peel Street
7,Macarthur Street
8,Macarther Street
9,Albert Street
10,Parliament Station
11,Flagstaff Station
12,Southern Cross Station
13,South Wharf
14,Fitzroy Garden
15,Southgate Avenue
16,Powlett Street
17,Queen Street
18,Elizabeth Street
19,Swanston Street
20,Flinders Lane
21,La Trobe Street
22,Oliver Lane
23,A'Beckett Street
24,Flinders Street
25,Collins Street
26,Little Collins Street
27,Lonsdale Street
28,Little Lonsdale Street
29,Franklin Street
30,Bourke Street
31,Carson Place
32,Victoria Street
33,Bank Place
34,Manton Lane
35,Watson Place
36,McKillop Street
37,King Street
38,Russell Street
39,Little Bourke Street
40,Hardware Lane
41,Drewery Place
42,Spring Street
43,Exhibition Street
44,Brown Alley
45,Hosier Lane
46,Rankins Lane
47,Spencer Street
48,Crossley Street
49,William Street
50,Exploration Lane
51,Therry Street
52,Tavistock Place
53,Market Street
54,Casselden Place
55,Cohen Place
56,Downie Street
57,MacKenzie Street
58,Little La Trobe Street
59,Heffernan Lane
60,Hardware Street
61,Punch Lane
62,Block Place
63,Niagara Lane
64,Anthony Street
65,Bond Street
66,Guildford Lane
67,George Parade
68,Waratah Place
69,Ridgway Place
70,Wills Street
71,Market Lane
72,Bennetts Lane
73,Corrs Lane
74,Coverlid Place
75,Mill Place
76,Highlander Lane
77,Sutherland Street
78,Alfred Place
79,Tattersalls Lane
80,Hayward Lane
81,Celestial Avenue
82,Melbourne Place
83,Manchester Lane
84,Drewery Lane
85,Meyers Place
86,Degraves Street
87,Liverpool Street
88,Coromandel Place
89,Goldie Place
90,Somerset Place
91,Princes Walk
92,Croft Alley
93,Jane Bell Lane
94,Warburton Lane
95,Artemis Lane
96,Windsor Place
97,Kirks Lane
98,Rebecca Walk
99,Rose Lane
